Region,Provider,model_id,SUM of Tokens,SUM of cost $,,,Region,SUM of Tokens,SUM of cost $,% of Tokens Consumption,% of Cost
,,gpt-image-1.5,28906,$1.37,,,,,,,
,,gpt-image-2-2026-04-21,788,$0.84,,,,,,,
,,o1-2024-12-17,1245383448,"$22,631.52",,,,,,,
,,o3-2025-04-16,196660015,$319.24,,,,,,,
,,o3-mini-2025-01-31,831760800,"$1,869.23",,,,,,,
,,o4-mini-2025-04-16,625648455,$844.94,,,,,,,
,,openai.gpt-oss-120b-1:0,78601047,$12.79,,,,,,,
,,text-embedding-3-large,110690669,$14.39,,,,,,,
,,text-embedding-ada-002,41431733,$4.14,,,,,,,
,OpenAI Total,,52083441613,"$108,292.94",,,,,,,
,unknown Total,,30123637073,"$10,467.09",,,,,,,
,Google,gemini-1.5-flash-002,209029478,$15.78,,,,,,,
,,gemini-1.5-pro-002,41991778,$66.07,,,,,,,
,,gemini-2.0-flash-001,436404212,$70.45,,,,,,,
,,gemini-2.0-flash-lite-001,36758225,$2.80,,,,,,,
,,gemini-2.5-flash,3605622493,"$3,275.78",,,,,,,
,,gemini-2.5-flash-lite,525440589,$57.81,,,,,,,
,,gemini-2.5-pro,7708833367,"$30,997.55",,,,,,,
,,gemini-3-flash-preview,83240171,$62.97,,,,,,,
,,gemini-3-pro-image-preview,2358960,$11.18,,,,,,,
,,gemini-3.1-flash-image-preview,2194160,$5.49,,,,,,,
,,gemini-3.1-flash-lite,34662965,$12.06,,,,,,,
,,gemini-3.1-flash-lite-preview,16262708,$4.53,,,,,,,
,,gemini-3.1-pro-preview,58802682,$250.93,,,,,,,
,,gemini-3.5-flash,533252548,$777.51,,,,,,,
,,gemini-3.5-flash-lite,145025,$0.07,,,,,,,
,,gemini-embedding-001,9527928,$1.43,,,,,,,
,,imagen-4.0-fast-generate-001,0,$56.56,,,,,,,
,,imagen-4.0-generate-001,0,$122.24,,,,,,,
,,imagen-4.0-ultra-generate-001,0,$175.02,,,,,,,
,,text-embedding-004,12242112,$289.92,,,,,,,
,Google Total,,13316769401,"$36,256.14",,,,,,,
,Amazon,amazon.titan-embed-text-v2:0,18072,$0.09,,,,,,,
,,us.amazon.nova-lite-v1:0,31750633,$1.91,,,,,,,
,,us.amazon.nova-pro-v1:0,134375474,$107.28,,,,,,,
,Amazon Total,,166144179,$109.29,,,,,,,
,DeepSeek,deepseek.v3-v1:0,7490449,$4.53,,,,,,,
,,us.deepseek.r1-v1:0,50252043,$117.76,,,,,,,
,DeepSeek Total,,57742492,$122.29,,,,,,,
,Meta,meta.llama3-1-405b-instruct-v1:0,169927,$1.10,,,,,,,
,,meta.llama3-1-70b-instruct-v1:0,357158,$0.35,,,,,,,
,,meta.llama3-70b-instruct-v1:0,9052,$0.02,,,,,,,
,,us.meta.llama3-1-70b-instruct-v1:0,55335,$0.05,,,,,,,
,,us.meta.llama3-2-90b-instruct-v1:0,1818651,$3.64,,,,,,,
,,us.meta.llama3-3-70b-instruct-v1:0,65506,$0.05,,,,,,,
,,us.meta.llama4-maverick-17b-instruct-v1:0,34329,$0.01,,,,,,,
,,us.meta.llama4-scout-17b-instruct-v1:0,3967965,$0.68,,,,,,,
,Meta Total,,6477923,$5.91,,,,,,,
,Mistral,mistral.mistral-large-2402-v1:0,106876,$0.56,,,,,,,
,,mistral.mistral-large-2407-v1:0,5013378,$11.14,,,,,,,
,Mistral Total,,5120254,$11.70,,,,,,,
,Cohere,us.cohere.embed-v4:0,2340551,$0.28,,,,,,,
,Cohere Total,,2340551,$0.28,,,,,,,
,Writer,us.writer.palmyra-x4-v1:0,1587,$0.02,,,,,,,
,,us.writer.palmyra-x5-v1:0,120555,$0.09,,,,,,,
,Writer Total,,122142,$0.10,,,,,,,
,Stability AI,stability.sd3-5-large-v1:0,0,$284.56,,,,,,,
,,stability.stable-diffusion-xl-v1,0,$8.24,,,,,,,
,,stability.stable-image-core-v1:1,0,$164.04,,,,,,,
,,stability.stable-image-ultra-v1:1,0,$579.18,,,,,,,
,Stability AI Total,,0,"$1,036.02",,,,,,,
US Total,,,3308385112118,"$3,764,579.95",,,,,,,
Grand Total,,,7939547945459,"$9,314,026.74",,,,,,,
